name,form
ДНР,"['Донбасс', 'Донецк', 'Донецкая Народная Республика']"
ЛНР,"['Луганск', 'Луганская народная республика', 'Луганская Народная Республика']"
Россия,"['рф', 'российская федерация', 'россии', 'российской федерации', 'российской федерацией', 'Россией', 'РФ', 'Российская Федерация']"
ДФО,"['Дальневосточный Федеральный Округ', 'Дальневосточный федеральный округ']"
УРФО,"['урфо', 'уральский федеральный', 'уральский федеральный округ']"
Московская область,['Московская области']
Ленинградская область,['Ленобласть']
Республика Коми,"['республика коми', 'коми']"
Архангельская область,"['архангельская области', 'архангельская']"
Ханты-Мансийский автономный округ - Югра,"['ханты-мансийский автономный округ', 'югра', 'югре', 'югры', 'ханты-мансийский автономный округ — югра', 'хмао-югра', 'ХМАО', 'ханты-мансийский']"
Ненецкий автономный округ,"['ненецкий', 'ненецкий ао', 'ненецкий автономный округ', 'ненецкий', 'нао']"
Ямало-Ненецкий автономный округ,"['ямало-ненецкий автономный округ', 'янао', 'ямало-ненецкого автономного округа', 'ямало-ненецким автономным округом', 'ямало-ненецким автономном округе', 'ямал', 'ямале', 'ямала', 'ямалом', 'ямало-ненецкий автономный округ (янао)', 'ямало-ненецком автономный округ', 'ямало-ненецкий автономные округа', 'ямало-ненецкий автономный', 'ямало-ненецком автономный округ янао', 'ямало-ненецкий автономный округ коронавирус', 'ямало-ненецкий', 'ямало ненецкий']"
Сахалинская область,"['Сахалин', 'Сахалином', 'Сахалине']"
Курильские острова,"['Курилы', 'Курилах', 'Курил', 'Курильские о.', 'Курилам', 'Малая Курильская гряда', 'малая курильская гряда']"
Еврейская Автономная Область,['ЕАО']
Приморский край,['Приморье']
Республика Саха (Якутия),"['Саха', 'Сахи', 'Якутия', 'Саха Якутия', 'Якутия']"
Чукотский автономный округ,"['чукотский автономный округ', 'чукотка', 'чукотский', 'Чукотский АО', 'Чукотка']"
